pattern,timestamp,minute_1_time,minute_2_time,minute_3_time,first_open,last_next_open,total_change,change_1,change_2,change_3,volume
PNP,2025-08-20 09:00:00,09:00:00,09:01:00,09:02:00,635.3800,636.1250,0.7450,0.5200,-0.0300,0.2550,1598580.0
NNN,2025-08-20 09:03:00,09:03:00,09:04:00,09:05:00,636.1250,635.1300,-0.9950,-0.0850,-0.4700,-0.4400,923201.0
NPN,2025-08-20 09:06:00,09:06:00,09:07:00,09:08:00,635.1300,634.3800,-0.7500,-0.3400,0.1900,-0.6000,1233954.0
NNP,2025-08-20 09:09:00,09:09:00,09:10:00,09:11:00,634.3800,634.5900,0.2100,-0.0100,-0.1300,0.3500,1473955.0
NPN,2025-08-20 09:12:00,09:12:00,09:13:00,09:14:00,634.5900,634.4500,-0.1400,-0.1400,0.2500,-0.2500,1076413.0
NNP,2025-08-20 09:15:00,09:15:00,09:16:00,09:17:00,634.4500,634.3800,-0.0700,-0.1200,-0.4500,0.5000,1057396.0
NPP,2025-08-20 09:18:00,09:18:00,09:19:00,09:20:00,634.3800,634.7900,0.4100,-0.2500,0.4900,0.1700,975450.0
PNN,2025-08-20 09:21:00,09:21:00,09:22:00,09:23:00,634.7900,635.0400,0.2500,0.3300,-0.0400,-0.0400,718741.0
NPN,2025-08-20 09:24:00,09:24:00,09:25:00,09:26:00,635.0400,634.7900,-0.2500,-0.2000,0.0450,-0.0950,545710.0
NNN,2025-08-20 09:27:00,09:27:00,09:28:00,09:29:00,634.7900,633.9400,-0.8500,-0.2900,-0.3100,-0.2500,789608.0
NPN,2025-08-20 09:30:00,09:30:00,09:31:00,09:32:00,633.9400,633.8500,-0.0900,-0.2000,0.3100,-0.2000,653528.0
PPN,2025-08-20 09:33:00,09:33:00,09:34:00,09:35:00,633.8500,634.0100,0.1600,0.1950,0.0650,-0.1000,887611.0
NPP,2025-08-20 09:36:00,09:36:00,09:37:00,09:38:00,634.0100,634.2799,0.2699,-0.1200,0.1600,0.2299,505611.0
NNN,2025-08-20 09:39:00,09:39:00,09:40:00,09:41:00,634.2799,633.7100,-0.5699,-0.3907,-0.1292,-0.0500,519723.0
PNP,2025-08-20 09:42:00,09:42:00,09:43:00,09:44:00,633.7100,633.5300,-0.1800,0.0200,-0.2600,0.0600,512728.0
