Column,Type,Description
minus_1_put_prev_close,float64,Previous day close for minus_1 put option
minus_1_put_prev_volume,int64,Previous day volume for minus_1 put option
minus_1_put_prev_vwap,float64,Previous day vwap for minus_1 put option
minus_2_strike,int64,Strike price for minus_2
minus_2_call_ticker,object,Option ticker symbol for minus_2 call
minus_2_call_open,float64,Open price for minus_2 call option
minus_2_call_high,float64,High price for minus_2 call option
minus_2_call_low,float64,Low price for minus_2 call option
minus_2_call_close,float64,Close price for minus_2 call option
minus_2_call_volume,int64,Trading volume for minus_2 call option
minus_2_call_vwap,float64,Volume-weighted average price for minus_2 call option
minus_2_call_prev_open,float64,Previous day open for minus_2 call option
minus_2_call_prev_close,float64,Previous day close for minus_2 call option
minus_2_call_prev_volume,int64,Previous day volume for minus_2 call option
minus_2_call_prev_vwap,float64,Previous day vwap for minus_2 call option
minus_2_put_ticker,object,Option ticker symbol for minus_2 put
minus_2_put_open,float64,Open price for minus_2 put option
minus_2_put_high,float64,High price for minus_2 put option
minus_2_put_low,float64,Low price for minus_2 put option
minus_2_put_close,float64,Close price for minus_2 put option
minus_2_put_volume,int64,Trading volume for minus_2 put option
minus_2_put_vwap,float64,Volume-weighted average price for minus_2 put option
minus_2_put_prev_open,float64,Previous day open for minus_2 put option
minus_2_put_prev_close,float64,Previous day close for minus_2 put option
minus_2_put_prev_volume,int64,Previous day volume for minus_2 put option
minus_2_put_prev_vwap,float64,Previous day vwap for minus_2 put option
minus_3_strike,int64,Strike price for minus_3
minus_3_call_ticker,object,Option ticker symbol for minus_3 call
minus_3_call_open,float64,Open price for minus_3 call option
minus_3_call_high,float64,High price for minus_3 call option
minus_3_call_low,float64,Low price for minus_3 call option
minus_3_call_close,float64,Close price for minus_3 call option
minus_3_call_volume,int64,Trading volume for minus_3 call option
minus_3_call_vwap,float64,Volume-weighted average price for minus_3 call option
minus_3_call_prev_open,float64,Previous day open for minus_3 call option
minus_3_call_prev_close,float64,Previous day close for minus_3 call option
minus_3_call_prev_volume,int64,Previous day volume for minus_3 call option
minus_3_call_prev_vwap,float64,Previous day vwap for minus_3 call option
minus_3_put_ticker,object,Option ticker symbol for minus_3 put
minus_3_put_open,float64,Open price for minus_3 put option
minus_3_put_high,float64,High price for minus_3 put option
minus_3_put_low,float64,Low price for minus_3 put option
minus_3_put_close,float64,Close price for minus_3 put option
minus_3_put_volume,int64,Trading volume for minus_3 put option
minus_3_put_vwap,float64,Volume-weighted average price for minus_3 put option
minus_3_put_prev_open,float64,Previous day open for minus_3 put option
minus_3_put_prev_close,float64,Previous day close for minus_3 put option
minus_3_put_prev_volume,int64,Previous day volume for minus_3 put option
minus_3_put_prev_vwap,float64,Previous day vwap for minus_3 put option
